Noticia,Ponderacion
./ElMundo\salud\ElMundo_salud_2022-01-21_18.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-21_19.txt,0.2
./ElMundo\salud\ElMundo_salud_2022-01-21_21.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-22_11.txt,0.6666666666666666
./ElMundo\salud\ElMundo_salud_2022-01-23_1.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-23_10.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_12.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_13.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_2.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_20.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_3.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_4.txt,0.8571428571428571
./ElMundo\salud\ElMundo_salud_2022-01-23_5.txt,0.42857142857142855
./ElMundo\salud\ElMundo_salud_2022-01-23_6.txt,0.5
./ElMundo\salud\ElMundo_salud_2022-01-23_7.txt,0.0
./ElMundo\salud\ElMundo_salud_2022-01-23_8.txt,0.6
./ElMundo\salud\ElMundo_salud_2022-01-23_9.txt,0.6
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_49.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-01_50.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-02_48.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_45.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_46.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-03_47.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-04_44.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-05_43.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_41.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-06_42.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_39.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-07_40.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_37.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-08_38.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-09_36.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-10_34.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-10_35.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-11_33.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-12_32.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-13_30.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-13_31.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-14_29.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-15_26.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-15_27.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-15_28.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-18_25.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-19_23.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-19_24.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-20_22.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-21_20.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-21_21.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-23_19.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_16.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_17.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2021-12-27_18.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-03_15.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-04_13.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-04_14.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-05_11.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-05_12.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-06_10.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-07_9.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-11_8.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-12_6.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-12_7.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-14_5.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-17_3.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-17_4.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-19_2.txt,0.0
./ElMundo\tecnologia\ElMundo_tecnologia_2022-01-20_1.txt,0.0
